date,data
07.07.2022,247.4
08.07.2022,245.16
09.07.2022,245.51
10.07.2022,246.22
11.07.2022,244.48
12.07.2022,239.78
13.07.2022,238.62
14.07.2022,235.83
15.07.2022,237.64
16.07.2022,238.04
17.07.2022,237.55
18.07.2022,238.36
19.07.2022,238.29
20.07.2022,239.48
21.07.2022,243.46
22.07.2022,239.88
23.07.2022,241.48
24.07.2022,241.74
25.07.2022,235.13
26.07.2022,232.29
27.07.2022,231.08
28.07.2022,228.25
29.07.2022,226.59
30.07.2022,228.22
31.07.2022,228.22
01.08.2022,224.82
02.08.2022,231.35
03.08.2022,230.62
04.08.2022,231.63
05.08.2022,229.56
06.08.2022,229.18
07.08.2022,228.92
08.08.2022,228.69
09.08.2022,229.04
10.08.2022,229.88
11.08.2022,227.59
12.08.2022,227.25
13.08.2022,228
14.08.2022,227.62
15.08.2022,226.16
16.08.2022,226.14
17.08.2022,224.63
18.08.2022,225.97
19.08.2022,224.12
20.08.2022,225.37
21.08.2022,224.77
22.08.2022,222.33
23.08.2022,223.24
24.08.2022,222.87
25.08.2022,223.12
26.08.2022,223.11
27.08.2022,223.03
28.08.2022,223.28
29.08.2022,224.19
30.08.2022,226.69
31.08.2022,228.23
01.09.2022,226.66
02.09.2022,228.16
03.09.2022,227.78
04.09.2022,227.33
05.09.2022,225.77
06.09.2022,223.44
07.09.2022,224.65
08.09.2022,220.3
09.09.2022,218.62
10.09.2022,220.49
11.09.2022,220.64
12.09.2022,218.55
13.09.2022,219.66
14.09.2022,219.27
15.09.2022,220.02
16.09.2022,220.72
17.09.2022,219.76
18.09.2022,220.69
19.09.2022,221.95
20.09.2022,222.25
21.09.2022,219
22.09.2022,219.29
23.09.2022,217.62
24.09.2022,217.8
25.09.2022,217.7
26.09.2022,218.32
27.09.2022,215.05
28.09.2022,216.12
29.09.2022,216.16
30.09.2022,215.61
01.10.2022,215.25
02.10.2022,215.71
03.10.2022,214.25
04.10.2022,216.73
05.10.2022,216.58
06.10.2022,217.17
07.10.2022,215.45
08.10.2022,216.01
09.10.2022,215.66
10.10.2022,215.62
11.10.2022,215.67
12.10.2022,215.48
13.10.2022,217.29
14.10.2022,216.36
15.10.2022,216.65
16.10.2022,216.29
17.10.2022,216.05
18.10.2022,216.44
19.10.2022,215.85
20.10.2022,218.06
21.10.2022,219.49
22.10.2022,218.84
23.10.2022,221.25
24.10.2022,221.3
25.10.2022,221.91
26.10.2022,222.97
27.10.2022,223.67
28.10.2022,224.7
29.10.2022,226.98
30.10.2022,226.91
31.10.2022,224.3
01.11.2022,221.86
02.11.2022,223.66
03.11.2022,222.43
04.11.2022,220.06
05.11.2022,221.4
06.11.2022,220.79
07.11.2022,221.71
08.11.2022,222.76
09.11.2022,223.78
10.11.2022,222.18
11.11.2022,223.19
12.11.2022,222.19
13.11.2022,222.09
14.11.2022,220.24
15.11.2022,220.21
16.11.2022,220.92
17.11.2022,219.4
18.11.2022,221.52
19.11.2022,220.66
20.11.2022,221.49
21.11.2022,219.4
22.11.2022,219.15
23.11.2022,218.5
24.11.2022,220.15
25.11.2022,219.44
26.11.2022,218.7
27.11.2022,216.29
28.11.2022,218.6
