date,data
16.02.2022,283.85
17.02.2022,274.31
18.02.2022,266.11
19.02.2022,260.82
20.02.2022,260.82
21.02.2022,250.25
22.02.2022,242.95
23.02.2022,241.69
24.02.2022,244.01
25.02.2022,244.01
26.02.2022,242.63
27.02.2022,242.84
28.02.2022,246.97
01.03.2022,247.06
02.03.2022,247.06
03.03.2022,234.24
04.03.2022,233.41
05.03.2022,225.33
06.03.2022,225.33
07.03.2022,231.39
08.03.2022,231.39
09.03.2022,240.57
10.03.2022,239.11
11.03.2022,238.26
12.03.2022,238.26
13.03.2022,240.14
14.03.2022,243.47
15.03.2022,237.21
16.03.2022,247.33
17.03.2022,247.33
18.03.2022,257.88
19.03.2022,257.88
20.03.2022,258.16
21.03.2022,250.52
22.03.2022,257.23
23.03.2022,246.5
24.03.2022,250.69
25.03.2022,260.67
26.03.2022,266.05
27.03.2022,266.05
28.03.2022,254.01
29.03.2022,250.33
30.03.2022,245.22
31.03.2022,256.79
01.04.2022,256.79
02.04.2022,265.59
04.04.2022,267.79
05.04.2022,264.48
06.04.2022,275.98
07.04.2022,274.4
08.04.2022,275.38
09.04.2022,284.96
10.04.2022,290.24
11.04.2022,270.21
12.04.2022,273.44
13.04.2022,262.07
14.04.2022,269.29
15.04.2022,271.88
16.04.2022,274.28
17.04.2022,275.09
18.04.2022,273.48
19.04.2022,270.28
20.04.2022,270.31
21.04.2022,269.81
22.04.2022,336.11
23.04.2022,349.76
24.04.2022,361.37
25.04.2022,283.38
26.04.2022,280.61
27.04.2022,286.36
28.04.2022,279.58
29.04.2022,264.53
30.04.2022,264.9
01.05.2022,265.45
02.05.2022,263.8
03.05.2022,273.98
04.05.2022,276.46
05.05.2022,272.66
06.05.2022,271.83
07.05.2022,271.81
08.05.2022,272.18
09.05.2022,269.72
10.05.2022,267.13
11.05.2022,261.36
12.05.2022,262.1
13.05.2022,260.22
14.05.2022,261.2
15.05.2022,259.9
16.05.2022,255.03
17.05.2022,254.84
18.05.2022,259.84
19.05.2022,256.93
20.05.2022,249.66
21.05.2022,252.69
22.05.2022,253.81
23.05.2022,248.2
24.05.2022,249.78
25.05.2022,257.68
26.05.2022,257.69
27.05.2022,258.88
28.05.2022,259.29
29.05.2022,259.11
30.05.2022,256.88
31.05.2022,255.87
01.06.2022,259.43
02.06.2022,262.02
03.06.2022,257.85
04.06.2022,254.95
05.06.2022,255.03
06.06.2022,256.35
07.06.2022,257.33
08.06.2022,257.29
09.06.2022,254.55
10.06.2022,254.35
11.06.2022,254.5
12.06.2022,254.97
13.06.2022,256.06
14.06.2022,253.71
15.06.2022,252.1
16.06.2022,250.26
17.06.2022,249.78
18.06.2022,251.53
19.06.2022,250.76
20.06.2022,250.32
21.06.2022,253.08
22.06.2022,252.04
23.06.2022,252.42
24.06.2022,253.27
25.06.2022,251.65
26.06.2022,251.18
27.06.2022,251.21
28.06.2022,248.48
29.06.2022,247.81
30.06.2022,245.55
01.07.2022,245.39
02.07.2022,246.05
03.07.2022,244.75
04.07.2022,245.9
05.07.2022,247.51
06.07.2022,246.64
